generation,fitness,accuracy,mse,hidden_cells,edges
0.0,-0.477397777183854,0.6875,0.821147777183854,0.0,7.0
1.0,-0.35964342002931204,0.75,0.734643420029312,1.0,12.0
2.0,-0.20733166573093942,0.875,0.6448316657309394,1.0,13.0
3.0,-0.1394424619505138,0.875,0.5769424619505138,1.0,12.0
4.0,-0.09628411217440713,0.875,0.5337841121744071,1.0,11.0
5.0,-0.09399638798063714,0.875,0.5314963879806371,2.0,17.0
6.0,-0.07775775052508371,0.875,0.5152577505250837,1.0,13.0
7.0,-0.0731942397778853,0.875,0.5106942397778853,2.0,22.0
8.0,-0.06902506381464368,0.875,0.5065250638146437,2.0,22.0
9.0,-0.06813733833675628,0.875,0.5056373383367563,2.0,22.0
10.0,-0.06425046794628897,0.875,0.501750467946289,2.0,17.0
11.0,-0.06370737376447266,0.875,0.5012073737644727,3.0,27.0
12.0,-0.06321899717681012,0.875,0.5007189971768101,3.0,28.0
13.0,-0.06300313870602481,0.875,0.5005031387060248,9.0,68.0
14.0,-0.06285671445068408,0.875,0.5003567144506841,9.0,68.0
15.0,-0.06276907285451294,0.875,0.5002690728545129,9.0,68.0
16.0,-0.06256361810787103,0.875,0.500063618107871,5.0,41.0
17.0,-0.06256361810787103,0.875,0.500063618107871,5.0,41.0
18.0,-0.06253082499717766,0.875,0.5000308249971777,6.0,56.0
19.0,-0.06252376406790816,0.875,0.5000237640679082,6.0,51.0
20.0,-0.06250974295057454,0.875,0.5000097429505745,4.0,34.0
21.0,-0.06250618904573135,0.875,0.5000061890457314,6.0,51.0
22.0,-0.06250242131824835,0.875,0.5000024213182483,6.0,51.0
23.0,-0.06250118777393054,0.875,0.5000011877739305,6.0,51.0
24.0,-0.06250118777393054,0.875,0.5000011877739305,6.0,51.0
25.0,-0.06250045895518852,0.875,0.5000004589551885,6.0,52.0
26.0,-0.06250004521868413,0.875,0.5000000452186841,8.0,64.0
27.0,-0.06250002684816947,0.875,0.5000000268481695,9.0,73.0
28.0,-0.06250001943763417,0.875,0.5000000194376342,9.0,77.0
29.0,-0.06250000341364903,0.875,0.500000003413649,10.0,85.0
30.0,-0.06250000154617774,0.875,0.5000000015461777,10.0,85.0
31.0,-0.06250000055895888,0.875,0.5000000005589589,10.0,84.0
32.0,-0.06250000008939915,0.875,0.5000000000893992,9.0,80.0
33.0,-0.062500000055703,0.875,0.500000000055703,9.0,80.0
34.0,-0.06250000000647771,0.875,0.5000000000064777,8.0,67.0
35.0,-0.06250000000166589,0.875,0.5000000000016659,8.0,67.0
36.0,-0.06250000000056044,0.875,0.5000000000005604,9.0,77.0
37.0,-0.06250000000017997,0.875,0.50000000000018,9.0,75.0
38.0,-0.06250000000002709,0.875,0.5000000000000271,9.0,77.0
39.0,-0.06250000000000488,0.875,0.5000000000000049,10.0,84.0
40.0,-0.06250000000000067,0.875,0.5000000000000007,9.0,77.0
41.0,-0.062499999999988676,0.875,0.4999999999999887,9.0,80.0
42.0,-0.06249999999989847,0.875,0.49999999999989847,10.0,86.0
43.0,-0.06249999999988143,0.875,0.49999999999988143,10.0,87.0
44.0,-0.06249999999978839,0.875,0.4999999999997884,10.0,86.0
45.0,-0.06249999999897349,0.875,0.4999999999989735,12.0,104.0
46.0,-0.0624999999976118,0.875,0.4999999999976118,12.0,104.0
47.0,-0.06249999999419853,0.875,0.49999999999419853,12.0,104.0
48.0,-0.062499999914637894,0.875,0.4999999999146379,12.0,104.0
49.0,-0.062499999270709705,0.875,0.4999999992707097,11.0,95.0
50.0,-0.06249999881083956,0.875,0.49999999881083956,11.0,95.0
51.0,-0.0624999947474999,0.875,0.4999999947474999,11.0,94.0
52.0,-0.06249999251766403,0.875,0.499999992517664,12.0,106.0
53.0,-0.06249993195531267,0.875,0.49999993195531267,12.0,106.0
54.0,-0.06249947060827482,0.875,0.4999994706082748,12.0,105.0
55.0,-0.0624992853788674,0.875,0.4999992853788674,12.0,106.0
56.0,-0.06249781950656941,0.875,0.4999978195065694,12.0,105.0
57.0,-0.062497385208382106,0.875,0.4999973852083821,12.0,106.0
58.0,-0.062484349859718236,0.875,0.49998434985971824,11.0,96.0
59.0,-0.062410607754389,0.875,0.499910607754389,12.0,111.0
60.0,-0.06234902954277788,0.875,0.4998490295427779,12.0,110.0
61.0,-0.06207372478600032,0.875,0.4995737247860003,12.0,113.0
62.0,-0.05489274553903545,0.875,0.49239274553903545,12.0,112.0
63.0,0.01753774023901722,0.875,0.4199622597609828,11.0,104.0
64.0,0.07876244934301851,0.875,0.3587375506569815,11.0,104.0
65.0,0.15795785733404555,0.9375,0.31079214266595445,11.0,104.0
66.0,0.19528686020439867,0.9375,0.27346313979560133,12.0,111.0
67.0,0.2777504854255834,1.0,0.18414951457441658,11.0,105.0
68.0,0.3274919135598736,0.9375,0.1412580864401264,12.0,113.0
69.0,0.3274919135598736,0.9375,0.1412580864401264,12.0,113.0
70.0,0.3883812510186952,1.0,0.06961874898130482,12.0,116.0
71.0,0.3967153424402933,1.0,0.06218465755970669,12.0,113.0
72.0,0.42590636063445386,1.0,0.03299363936554618,12.0,113.0
73.0,0.4336984863486497,1.0,0.024601513651350267,12.0,115.0
74.0,0.4385993890225954,1.0,0.0197006109774046,12.0,115.0
75.0,0.4515192382229895,1.0,0.010380761777010472,11.0,105.0
76.0,0.45590049285382855,1.0,0.0020995071461714886,12.0,116.0
77.0,0.45590049285382855,1.0,0.0020995071461714886,12.0,116.0
78.0,0.45670232369223407,1.0,0.0012976763077659722,12.0,116.0
79.0,0.45670232369223407,1.0,0.0012976763077659722,12.0,116.0
