step,phase,task,accuracy,mse,hidden_cells
0,0,OR,0.75,0.8002720787741033,1
10,0,OR,0.75,0.6568241539844901,1
20,0,OR,0.75,0.5361435578385806,1
30,0,OR,1.0,0.40197539087552436,1
40,0,OR,1.0,0.279525163292683,1
50,0,OR,1.0,0.18856998099198596,1
60,0,OR,1.0,0.12969391044174336,1
70,0,OR,1.0,0.0931142884609593,1
80,0,OR,1.0,0.06999047494490744,1
90,0,OR,1.0,0.05477254934958115,1
100,0,OR,1.0,0.0443075499224874,1
110,0,OR,1.0,0.036814300825229136,1
120,0,OR,1.0,0.03125762710531998,1
130,0,OR,1.0,0.027012444302966176,1
140,0,OR,1.0,0.02368631841862148,1
150,0,OR,1.0,0.02102377329355821,1
160,0,OR,1.0,0.018852965880391814,1
170,0,OR,1.0,0.01705489843643238,1
180,0,OR,1.0,0.015545018486149084,1
190,0,OR,1.0,0.014261862303566866,1
200,0,OR,1.0,0.013159835846263184,1
210,0,OR,1.0,0.012204501142871235,1
220,0,OR,1.0,0.011369422967324924,1
230,0,OR,1.0,0.010634012419593768,1
240,0,OR,1.0,0.00998202253761392,1
250,0,OR,1.0,0.009400479583343956,1
260,0,OR,1.0,0.008878911178617213,1
270,0,OR,1.0,0.008408780351368498,1
280,0,OR,1.0,0.007983064775283304,1
290,0,OR,1.0,0.007595939946829406,1
300,0,OR,1.0,0.007242537809304622,1
310,0,OR,1.0,0.006918760852292335,1
320,0,OR,1.0,0.006621137490835847,1
330,0,OR,1.0,0.0063467085031948195,1
340,0,OR,1.0,0.006092937078951977,1
350,0,OR,1.0,0.005857636988793991,1
360,0,OR,1.0,0.005638914788784503,1
370,0,OR,1.0,0.005435122985631567,1
380,0,OR,1.0,0.0052448218304007015,1
390,0,OR,1.0,0.0050667479551035925,1
400,0,OR,1.0,0.004899788474157734,1
410,0,OR,1.0,0.004742959479072158,1
420,0,OR,1.0,0.004595388086916308,1
430,0,OR,1.0,0.004456297380506143,1
440,0,OR,1.0,0.004324993714746475,1
450,0,OR,1.0,0.004200855969359394,1
460,0,OR,1.0,0.004083326410764734,1
470,0,OR,1.0,0.003971902890681124,1
480,0,OR,1.0,0.003866132160202389,1
490,0,OR,1.0,0.0037656041187681287,1
500,1,XOR,0.75,0.9919385151664646,1
510,1,XOR,0.75,0.9914958918616128,1
520,1,XOR,0.75,0.9910278237557916,1
530,1,XOR,0.75,0.9905301780838499,1
540,1,XOR,0.75,0.9899983075690588,1
