step,task,accuracy,mse,hidden_cells
0,OR,0.75,0.5724152573220317,1
50,OR,1.0,0.10446134915181038,1
100,OR,1.0,0.0332296743267504,1
150,XOR,0.75,0.9786091515594768,1
200,XOR,0.75,0.9419913836478541,1
250,XOR,0.75,0.8182105705174139,1
300,XOR,0.75,0.7418656584254413,1
350,XOR,0.75,0.7224752010768359,1
400,XOR,0.75,0.7112372704974608,1
450,XOR,0.75,0.7036407172009135,1
500,XOR,0.75,0.6981751456674561,1
550,XOR,0.75,0.6940682274955191,1
600,XOR,0.75,0.6908773490674225,1
650,XOR,0.75,0.6883313765629451,1
700,XOR,0.75,0.6862555258418185,1
750,XOR,0.75,0.6845323573532673,1
800,XOR,0.75,0.6830801986337951,1
850,XOR,0.75,0.681840577468154,1
900,XOR,0.75,0.6807705796831336,1
950,XOR,0.75,0.6798380270415699,1
1000,XOR,0.75,0.6790183360247197,1
1050,XOR,0.75,0.6782924138914682,1
1100,XOR,0.75,0.6776452146048944,1
1150,XOR,1.0,0.021802082482494115,2
1150,AND,0.75,0.9758385296144098,2
1200,AND,0.75,0.8659716006252158,2
1250,AND,1.0,0.20880905162879687,2
1300,AND,1.0,0.043779705681889616,2
1350,AND,1.0,0.01277849623962953,1
1350,XNOR,0.75,1.003671851804094,1
1400,XNOR,0.75,1.0015544216640073,1
1450,XNOR,0.75,1.0002442458749956,1
1500,XNOR,0.75,0.9992633963578502,1
1550,XNOR,0.75,0.9984328315900195,1
1600,XNOR,0.75,0.9976613808073912,1
1650,XNOR,0.75,0.9968884215788029,1
1700,XNOR,0.75,0.996061716322087,1
1750,XNOR,0.75,0.9951242008826306,1
1800,XNOR,0.75,0.9940005693312906,1
1850,XNOR,0.75,0.9925764004002772,1
1900,XNOR,0.75,0.9906566940924479,1
1950,XNOR,0.75,0.9878689847666727,1
2000,XNOR,0.75,0.9833966962907273,1
2050,XNOR,0.75,0.9750693441310073,1
2100,XNOR,0.75,0.955096691419944,1
2150,XNOR,0.75,0.8809406780161766,1
2200,XNOR,0.75,0.7417425821472701,1
2250,XNOR,0.75,0.7123346676449217,1
2300,XNOR,0.75,0.702412502698825,1
2350,XNOR,1.0,0.023134376066658677,2
2350,OR,0.75,0.8008140716484453,2
2400,OR,1.0,0.06380379298317992,2
2450,OR,1.0,0.024185320672963084,2
2500,OR,1.0,0.011520035657519809,1
