id,number,suffix,provenance,file_count,artifact_types
V0,0,,RESULT_ARTIFACT_PRESERVED,26,ARCHIVE;CSV;MARKDOWN
V1,1,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;CSV;FIGURE;MARKDOWN
V2,2,,RESULT_ARTIFACT_PRESERVED,3,CSV;FIGURE
V2B,2,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V3,3,,RESULT_ARTIFACT_PRESERVED,6,ARCHIVE;CSV;FIGURE;MARKDOWN
V3B,3,B,RESULT_ARTIFACT_PRESERVED,3,CSV;FIGURE
V4,4,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V5,5,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V5B,5,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V5C,5,C,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V6,6,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V7,7,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V7B,7,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V8,8,,RESULT_ARTIFACT_PRESERVED,5,ARCHIVE;CSV;FIGURE;MARKDOWN
V9,9,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V10,10,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V11,11,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V12,12,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V13,13,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V14,14,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V15,15,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V16,16,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V16B,16,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V17,17,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V18,18,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V18B,18,B,RESULT_ARTIFACT_PRESERVED,5,ARCHIVE;CSV;FIGURE;MARKDOWN
V18C,18,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V19,19,,MISSING_DIRECT_ARTIFACT,0,
V20,20,,MISSING_DIRECT_ARTIFACT,0,
V21,21,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;CSV;FIGURE;MARKDOWN
V22,22,,RESULT_ARTIFACT_PRESERVED,38,FIGURE
V23,23,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V24,24,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V24B,24,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V24C,24,C,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V25,25,,MISSING_DIRECT_ARTIFACT,0,
V26,26,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V27,27,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V28,28,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V29,29,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V30,30,,MISSING_DIRECT_ARTIFACT,0,
V31,31,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V31B,31,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V31C,31,C,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V31D,31,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V32,32,,MISSING_DIRECT_ARTIFACT,0,
V33,33,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V33B,33,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V34,34,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V35,35,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V36,36,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V36B,36,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V37,37,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V38,38,,RESULT_ARTIFACT_PRESERVED,23,FIGURE
V39,39,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V40,40,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V41,41,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V42,42,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V43,43,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V43B,43,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V43C,43,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V44,44,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V45,45,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V46,46,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V47,47,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V48,48,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V49,49,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V50,50,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V51,51,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V52,52,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;FIGURE;MARKDOWN
V53,53,,RESULT_ARTIFACT_PRESERVED,14,FIGURE;MARKDOWN
V54,54,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V55,55,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V56,56,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V56B,56,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V56C,56,C,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V56D,56,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V57,57,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V57B,57,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V58,58,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V59,59,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;FIGURE;MARKDOWN
V60,60,,RESULT_ARTIFACT_PRESERVED,15,FIGURE;MARKDOWN
V60B,60,B,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V61,61,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V61B,61,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V61C,61,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V62,62,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V62B,62,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V63,63,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V64,64,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V65,65,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V66,66,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;FIGURE;MARKDOWN
V67,67,,RESULT_ARTIFACT_PRESERVED,16,FIGURE;MARKDOWN
V68,68,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V69,69,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V70,70,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V71,71,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V72,72,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V73,73,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V74,74,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V75,75,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V76,76,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V77,77,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V78,78,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V79,79,,RESULT_ARTIFACT_PRESERVED,4,ARCHIVE;FIGURE;MARKDOWN
V80,80,,RESULT_ARTIFACT_PRESERVED,11,FIGURE;MARKDOWN
V81,81,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V82,82,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V83,83,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V84,84,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V85,85,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V86,86,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;FIGURE;MARKDOWN
V87,87,,RESULT_ARTIFACT_PRESERVED,8,FIGURE;MARKDOWN
V88,88,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V89,89,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V90,90,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V91,91,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V92,92,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;FIGURE;MARKDOWN
V93,93,,RESULT_ARTIFACT_PRESERVED,18,FIGURE;MARKDOWN
V94,94,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V95,95,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V96,96,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V97,97,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V98,98,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V99,99,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V100,100,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V101,101,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V102,102,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V103,103,,RESULT_ARTIFACT_PRESERVED,7,FIGURE
